date,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
2020-03-05,,,,,180.0,,
2020-03-06,285.0,,,,,,
2020-03-07,,,69.0,,,,
2020-03-08,,,,81.0,,,
2020-03-09,,440.0,,,,,
2020-03-10,,,,,,591.0,
2020-03-11,,,,,,,163.0
2020-03-12,,,,,138.0,,
2020-03-13,339.0,,,,,,
2020-03-14,,,80.0,,,,
2020-03-15,,,,225.0,,,
2020-03-16,,33.0,,,,,
2020-03-17,,,,,,33.0,
2020-03-18,,,,,,,29.0
2020-03-19,,,,,77.0,,
2020-03-20,71.0,,,,,,
2020-03-21,,,6.0,,,,
2020-03-22,,,,89.0,,,
2020-03-23,,62.0,,,,,
2020-03-24,,,,,,28.0,
2020-03-25,,,,,,,14.0
2020-03-26,,,,,18.0,,
2020-03-27,88.0,,,,,,
2020-03-28,,,21.0,,,,
2020-03-29,,,,26.0,,,
2020-03-30,,139.0,,,,,
2020-03-31,,,,,,70.0,
2020-04-01,,,,,,,222.0
2020-04-02,,,,,134.0,,
2020-04-03,107.0,,,,,,
2020-04-04,,,90.0,,,,
2020-04-05,,,,21.0,,,
2020-04-06,,154.0,,,,,
2020-04-07,,,,,,178.0,
2020-04-08,,,,,,,33.0
2020-04-09,,,,,27.0,,
2020-04-10,98.0,,,,,,
2020-04-11,,,6.0,,,,
2020-04-12,,,,12.0,,,
2020-04-13,,61.0,,,,,
2020-04-14,,,,,,26.0,
2020-04-15,,,,,,,36.0
2020-04-16,,,,,124.0,,
2020-04-17,162.0,,,,,,
2020-04-18,,,202.0,,,,
2020-04-19,,,,51.0,,,
2020-04-20,,88.0,,,,,
2020-04-21,,,,,,67.0,
2020-04-22,,,,,,,73.0
2020-04-23,,,,,181.0,,
2020-04-24,156.0,,,,,,
2020-04-25,,,101.0,,,,
2020-04-26,,,,11.0,,,
2020-04-27,,65.0,,,,,
2020-04-28,,,,,,69.0,
2020-04-29,,,,,,,27.0
2020-04-30,,,,,67.0,,
2020-05-01,114.0,,,,,,
2020-05-02,,,22.0,,,,
2020-05-03,,,,29.0,,,
2020-05-04,,86.0,,,,,
2020-05-05,,,,,,74.0,
2020-05-06,,,,,,,101.0
2020-05-07,,,,,154.0,,
2020-05-08,7.0,,,,,,
2020-05-09,,,5.0,,,,
2020-05-10,,,,1.0,,,
2020-05-11,,64.0,,,,,
2020-05-12,,,,,,40.0,
2020-05-13,,,,,,,46.0
2020-05-14,,,,,50.0,,
2020-05-15,15.0,,,,,,
2020-05-16,,,17.0,,,,
2020-05-17,,,,51.0,,,
2020-05-18,,47.0,,,,,
2020-05-19,,,,,,139.0,
2020-05-20,,,,,,,88.0
2020-05-21,,,,,34.0,,
2020-05-22,9.0,,,,,,
2020-05-23,,,15.0,,,,
2020-05-24,,,,9.0,,,
2020-05-25,,77.0,,,,,
2020-05-26,,,,,,110.0,
2020-05-27,,,,,,,70.0
2020-05-28,,,,,26.0,,
2020-05-29,90.0,,,,,,
2020-05-30,,,69.0,,,,
2020-05-31,,,,5.0,,,
2020-06-01,,165.0,,,,,
2020-06-02,,,,,,102.0,
2020-06-03,,,,,,,103.0
2020-06-04,,,,,68.0,,
2020-06-05,156.0,,,,,,
2020-06-07,,,,142.0,,,
2020-06-08,,144.0,,,,,
2020-06-09,,,,,,24.0,
2020-06-10,,,,,,,68.0
2020-06-11,,,,,79.0,,
2020-06-12,89.0,,,,,,
2020-06-13,,,134.0,,,,
2020-06-14,,,,46.0,,,
2020-06-15,,65.0,,,,,
2020-06-16,,,,,,27.0,
2020-06-17,,,,,,,35.0
2020-06-18,,,,,79.0,,
2020-06-19,152.0,,,,,,
2020-06-20,,,53.0,,,,
2020-06-21,,,,23.0,,,
2020-06-22,,163.0,,,,,
2020-06-23,,,,,,96.0,
2020-06-24,,,,,,,179.0
2020-06-25,,,,,199.0,,
2020-06-26,63.0,,,,,,
2020-06-27,,,47.0,,,,
2020-06-28,,,,7.0,,,
2020-06-29,,196.0,,,,,
2020-06-30,,,,,,170.0,
2020-07-01,,,,,,,340.0
2020-07-02,,,,,63.0,,
2020-07-03,139.0,,,,,,
2020-07-04,,,79.0,,,,
2020-07-05,,,,72.0,,,
2020-07-06,,150.0,,,,,
2020-07-07,,,,,,234.0,
2020-07-08,,,,,,,170.0
2020-07-09,,,,,150.0,,
2020-07-10,96.0,,,,,,
2020-07-11,,,118.0,,,,
2020-07-12,,,,83.0,,,
2020-07-13,,176.0,,,,,
2020-07-14,,,,,,142.0,
2020-07-15,,,,,,,14.0
2020-07-16,,,,,208.0,,
2020-07-17,262.0,,,,,,
2020-07-18,,,63.0,,,,
2020-07-19,,,,213.0,,,
2020-07-20,,174.0,,,,,
2020-07-21,,,,,,89.0,
2020-07-22,,,,,,,50.0
2020-07-23,,,,,82.0,,
2020-07-24,195.0,,,,,,
2020-07-25,,,109.0,,,,
2020-07-26,,,,163.0,,,
2020-07-27,,143.0,,,,,
2020-07-28,,,,,,208.0,
2020-07-29,,,,,,,162.0
2020-07-30,,,,,218.0,,
2020-07-31,236.0,,,,,,
2020-08-01,,,91.0,,,,
2020-08-02,,,,125.0,,,
2020-08-03,,132.0,,,,,
2020-08-04,,,,,,108.0,
2020-08-05,,,,,,,47.0
2020-08-06,,,,,128.0,,
2020-08-07,93.0,,,,,,
2020-08-08,,,159.0,,,,
2020-08-09,,,,237.0,,,
2020-08-10,,76.0,,,,,
2020-08-11,,,,,,142.0,
2020-08-12,,,,,,,116.0
2020-08-13,,,,,25.0,,
2020-08-14,396.0,,,,,,
2020-08-15,,,59.0,,,,
2020-08-16,,,,73.0,,,
2020-08-17,,119.0,,,,,
2020-08-18,,,,,,310.0,
2020-08-19,,,,,,,598.0
2020-08-20,,,,,143.0,,
2020-08-21,76.0,,,,,,
2020-08-22,,,139.0,,,,
2020-08-23,,,,74.0,,,
2020-08-24,,57.0,,,,,
2020-08-25,,,,,,99.0,
2020-08-26,,,,,,,11.0
2020-08-27,,,,,12.0,,
2020-08-28,17.0,,,,,,
2020-08-29,,,256.0,,,,
2020-08-30,,,,236.0,,,
2020-08-31,,115.0,,,,,
2020-09-01,,,,,,42.0,
2020-09-03,,,,,66.0,,
2020-09-04,47.0,,,,,,
2020-09-05,,,141.0,,,,
2020-09-06,,,,81.0,,,
2020-09-07,,100.0,,,,,
2020-09-08,,,,,,42.0,
2020-09-09,,,,,,,121.0
2020-09-10,,,,,116.0,,
2020-09-11,108.0,,,,,,
2020-09-12,,,47.0,,,,
2020-09-13,,,,532.0,,,
2020-09-14,,30.0,,,,,
2020-09-15,,,,,,123.0,
2020-09-16,,,,,,,51.0
2020-09-17,,,,,256.0,,
2020-09-18,278.0,,,,,,
2020-09-19,,,239.0,,,,
2020-09-20,,,,34.0,,,
2020-09-21,,119.0,,,,,
2020-09-22,,,,,,40.0,
2020-09-23,,,,,,,48.0
2020-09-24,,,,,77.0,,
2020-09-25,176.0,,,,,,
2020-09-26,,,148.0,,,,
2020-09-27,,,,59.0,,,
2020-09-28,,135.0,,,,,
2020-09-29,,,,,,70.0,
2020-09-30,,,,,,,137.0
2020-10-01,,,,,72.0,,
2020-10-02,75.0,,,,,,
2020-10-03,,,90.0,,,,
2020-10-04,,,,118.0,,,
2020-10-05,,18.0,,,,,
2020-10-06,,,,,,103.0,
2020-10-07,,,,,,,94.0
2020-10-08,,,,,402.0,,
2020-10-09,60.0,,,,,,
2020-10-10,,,434.0,,,,
2020-10-11,,,,92.0,,,
2020-10-12,,61.0,,,,,
2020-10-13,,,,,,166.0,
2020-10-14,,,,,,,57.0
2020-10-15,,,,,50.0,,
2020-10-16,84.0,,,,,,
2020-10-17,,,101.0,,,,
2020-10-18,,,,57.0,,,
2020-10-19,,38.0,,,,,
2020-10-20,,,,,,57.0,
2020-10-21,,,,,,,71.0
2020-10-22,,,,,108.0,,
2020-10-23,124.0,,,,,,
2020-10-24,,,190.0,,,,
2020-10-25,,,,20.0,,,
2020-10-26,,11.0,,,,,
2020-10-27,,,,,,167.0,
2020-10-28,,,,,,,84.0
2020-10-29,,,,,137.0,,
2020-10-30,426.0,,,,,,
2020-10-31,,,184.0,,,,
2020-11-01,,,,101.0,,,
2020-11-02,,89.0,,,,,
2020-11-03,,,,,,211.0,
2020-11-04,,,,,,,216.0
2020-11-05,,,,,190.0,,
2020-11-06,249.0,,,,,,
2020-11-07,,,141.0,,,,
2020-11-08,,,,15.0,,,
2020-11-09,,49.0,,,,,
2020-11-10,,,,,,250.0,
2020-11-11,,,,,,,129.0
2020-11-12,,,,,74.0,,
2020-11-13,235.0,,,,,,
2020-11-14,,,120.0,,,,
2020-11-15,,,,9.0,,,
2020-11-16,,32.0,,,,,
2020-11-17,,,,,,97.0,
2020-11-18,,,,,,,87.0
2020-11-19,,,,,57.0,,
2020-11-20,131.0,,,,,,
2020-11-21,,,118.0,,,,
2020-11-22,,,,47.0,,,
2020-11-23,,137.0,,,,,
2020-11-24,,,,,,390.0,
2020-11-25,,,,,,,73.0
2020-11-26,,,,,125.0,,
2020-11-27,99.0,,,,,,
2020-11-28,,,41.0,,,,
2020-11-29,,,,43.0,,,
2020-11-30,,257.0,,,,,
2020-12-01,,,,,,132.0,
2020-12-02,,,,,,,101.0
2020-12-03,,,,,168.0,,
2020-12-04,89.0,,,,,,
2020-12-05,,,90.0,,,,
2020-12-06,,,,60.0,,,
2020-12-07,,22.0,,,,,
2020-12-08,,,,,,130.0,
2020-12-09,,,,,,,19.0
2020-12-10,,,,,188.0,,
2020-12-11,90.0,,,,,,
2020-12-12,,,106.0,,,,
2020-12-13,,,,21.0,,,
2020-12-14,,104.0,,,,,
2020-12-15,,,,,,149.0,
2020-12-16,,,,,,,72.0
2020-12-17,,,,,77.0,,
2020-12-18,234.0,,,,,,
2020-12-19,,,55.0,,,,
2020-12-20,,,,122.0,,,
2020-12-21,,185.0,,,,,
2020-12-22,,,,,,213.0,
2020-12-23,,,,,,,156.0
2020-12-24,,,,,89.0,,
2020-12-25,160.0,,,,,,
2020-12-26,,,97.0,,,,
2020-12-27,,,,22.0,,,
2020-12-28,,104.0,,,,,
2020-12-29,,,,,,53.0,
2020-12-30,,,,,,,61.0
2020-12-31,,,,,24.0,,
2021-01-01,105.0,,,,,,
2021-01-02,,,164.0,,,,
2021-01-03,,,,46.0,,,
2021-01-04,,104.0,,,,,
2021-01-05,,,,,,204.0,
2021-01-06,,,,,,,165.0
2021-01-07,,,,,92.0,,
2021-01-08,174.0,,,,,,
2021-01-09,,,25.0,,,,
2021-01-10,,,,89.0,,,
2021-01-11,,77.0,,,,,
2021-01-12,,,,,,150.0,
2021-01-13,,,,,,,154.0
2021-01-14,,,,,83.0,,
2021-01-15,160.0,,,,,,
2021-01-16,,,90.0,,,,
2021-01-17,,,,5.0,,,
2021-01-18,,91.0,,,,,
2021-01-19,,,,,,62.0,
2021-01-20,,,,,,,84.0
2021-01-21,,,,,231.0,,
2021-01-22,19.0,,,,,,
2021-01-23,,,127.0,,,,
2021-01-24,,,,83.0,,,
2021-01-25,,142.0,,,,,
2021-01-26,,,,,,28.0,
2021-01-27,,,,,,,3.0
2021-01-28,,,,,37.0,,
2021-01-29,195.0,,,,,,
2021-01-30,,,273.0,,,,
2021-02-01,,63.0,,,,,
2021-02-02,,,,,,79.0,
2021-02-03,,,,,,,90.0
2021-02-04,,,,,92.0,,
2021-02-05,138.0,,,,,,
2021-02-06,,,224.0,,,,
2021-02-07,,,,12.0,,,
2021-02-08,,106.0,,,,,
2021-02-09,,,,,,285.0,
2021-02-10,,,,,,,114.0
2021-02-11,,,,,142.0,,
2021-02-12,95.0,,,,,,
2021-02-13,,,278.0,,,,
2021-02-14,,,,60.0,,,
2021-02-15,,63.0,,,,,
2021-02-16,,,,,,132.0,
2021-02-17,,,,,,,37.0
2021-02-18,,,,,99.0,,
2021-02-19,175.0,,,,,,
2021-02-20,,,295.0,,,,
2021-02-21,,,,181.0,,,
2021-02-22,,71.0,,,,,
2021-02-23,,,,,,99.0,
2021-02-24,,,,,,,158.0
2021-02-25,,,,,157.0,,
2021-02-26,68.0,,,,,,
2021-02-27,,,248.0,,,,
2021-02-28,,,,46.0,,,
2021-03-01,,249.0,,,,,
2021-03-02,,,,,,35.0,
2021-03-03,,,,,,,137.0
2021-03-04,,,,,91.0,,
2021-03-05,229.0,,,,,,
2021-03-06,,,253.0,,,,
2021-03-07,,,,345.0,,,
2021-03-08,,80.0,,,,,
2021-03-09,,,,,,124.0,
2021-03-10,,,,,,,85.0
2021-03-11,,,,,123.0,,
2021-03-12,65.0,,,,,,
2021-03-13,,,159.0,,,,
2021-03-14,,,,31.0,,,
2021-03-15,,8.0,,,,,
2021-03-16,,,,,,181.0,
2021-03-17,,,,,,,84.0
2021-03-18,,,,,32.0,,
2021-03-19,94.0,,,,,,
2021-03-20,,,169.0,,,,
2021-03-21,,,,108.0,,,
2021-03-22,,61.0,,,,,
2021-03-23,,,,,,40.0,
2021-03-24,,,,,,,79.0
2021-03-25,,,,,117.0,,
2021-03-26,186.0,,,,,,
2021-03-27,,,193.0,,,,
2021-03-28,,,,135.0,,,
2021-03-29,,87.0,,,,,
2021-03-30,,,,,,94.0,
2021-03-31,,,,,,,108.0
2021-04-01,,,,,290.0,,
2021-04-02,207.0,,,,,,
2021-04-03,,,178.0,,,,
2021-04-04,,,,149.0,,,
2021-04-05,,45.0,,,,,
2021-04-06,,,,,,55.0,
2021-04-07,,,,,,,68.0
2021-04-08,,,,,259.0,,
2021-04-09,65.0,,,,,,
2021-04-10,,,219.0,,,,
2021-04-11,,,,52.0,,,
2021-04-12,,58.0,,,,,
2021-04-13,,,,,,466.0,
2021-04-14,,,,,,,45.0
2021-04-15,,,,,33.0,,
2021-04-16,289.0,,,,,,
2021-04-17,,,243.0,,,,
2021-04-18,,,,62.0,,,
2021-04-19,,87.0,,,,,
2021-04-20,,,,,,63.0,
2021-04-21,,,,,,,16.0
2021-04-22,,,,,83.0,,
2021-04-23,134.0,,,,,,
2021-04-24,,,291.0,,,,
2021-04-25,,,,19.0,,,
2021-04-26,,80.0,,,,,
2021-04-27,,,,,,102.0,
2021-04-28,,,,,,,121.0
2021-04-29,,,,,111.0,,
2021-04-30,107.0,,,,,,
2021-05-01,,,156.0,,,,
2021-05-02,,,,75.0,,,
2021-05-03,,122.0,,,,,
2021-05-04,,,,,,110.0,
2021-05-05,,,,,,,178.0
2021-05-06,,,,,86.0,,
2021-05-07,144.0,,,,,,
2021-05-08,,,233.0,,,,
2021-05-09,,,,175.0,,,
2021-05-10,,81.0,,,,,
2021-05-11,,,,,,69.0,
2021-05-12,,,,,,,262.0
2021-05-13,,,,,36.0,,
2021-05-14,490.0,,,,,,
2021-05-15,,,232.0,,,,
2021-05-16,,,,56.0,,,
2021-05-17,,89.0,,,,,
2021-05-18,,,,,,123.0,
2021-05-19,,,,,,,76.0
2021-05-20,,,,,60.0,,
2021-05-21,215.0,,,,,,
2021-05-22,,,410.0,,,,
2021-05-23,,,,219.0,,,
2021-05-24,,66.0,,,,,
2021-05-25,,,,,,138.0,
2021-05-26,,,,,,,157.0
2021-05-27,,,,,229.0,,
2021-05-28,139.0,,,,,,
2021-05-29,,,318.0,,,,
2021-05-30,,,,18.0,,,
2021-05-31,,90.0,,,,,
2021-06-01,,,,,,110.0,
2021-06-02,,,,,,,57.0
2021-06-03,,,,,70.0,,
2021-06-04,276.0,,,,,,
2021-06-05,,,146.0,,,,
2021-06-06,,,,108.0,,,
2021-06-07,,125.0,,,,,
2021-06-08,,,,,,262.0,
2021-06-09,,,,,,,107.0
2021-06-10,,,,,148.0,,
2021-06-11,218.0,,,,,,
2021-06-12,,,239.0,,,,
2021-06-13,,,,212.0,,,
2021-06-14,,23.0,,,,,
2021-06-15,,,,,,98.0,
2021-06-16,,,,,,,66.0
2021-06-17,,,,,3.0,,
2021-06-18,196.0,,,,,,
2021-06-19,,,155.0,,,,
2021-06-20,,,,29.0,,,
2021-06-21,,102.0,,,,,
2021-06-22,,,,,,53.0,
2021-06-23,,,,,,,124.0
2021-06-24,,,,,44.0,,
2021-06-25,134.0,,,,,,
2021-06-26,,,98.0,,,,
2021-06-27,,,,102.0,,,
2021-06-28,,150.0,,,,,
2021-06-29,,,,,,106.0,
2021-06-30,,,,,,,31.0
2021-07-01,,,,,84.0,,
2021-07-02,202.0,,,,,,
2021-07-03,,,191.0,,,,
2021-07-04,,,,282.0,,,
2021-07-05,,158.0,,,,,
2021-07-06,,,,,,79.0,
2021-07-07,,,,,,,73.0
2021-07-08,,,,,163.0,,
2021-07-09,220.0,,,,,,
2021-07-10,,,28.0,,,,
2021-07-11,,,,285.0,,,
2021-07-12,,81.0,,,,,
2021-07-13,,,,,,84.0,
2021-07-14,,,,,,,51.0
2021-07-15,,,,,112.0,,
2021-07-16,106.0,,,,,,
2021-07-17,,,125.0,,,,
2021-07-18,,,,147.0,,,
2021-07-19,,24.0,,,,,
2021-07-20,,,,,,118.0,
2021-07-21,,,,,,,67.0
2021-07-22,,,,,174.0,,
2021-07-23,245.0,,,,,,
2021-07-24,,,232.0,,,,
2021-07-25,,,,163.0,,,
2021-07-26,,89.0,,,,,
2021-07-27,,,,,,153.0,
2021-07-28,,,,,,,152.0
2021-07-29,,,,,69.0,,
2021-07-30,126.0,,,,,,
2021-07-31,,,199.0,,,,
2021-08-01,,,,155.0,,,
2021-08-02,,124.0,,,,,
2021-08-03,,,,,,90.0,
2021-08-04,,,,,,,192.0
2021-08-05,,,,,24.0,,
2021-08-06,172.0,,,,,,
2021-08-07,,,233.0,,,,
2021-08-08,,,,11.0,,,
2021-08-09,,204.0,,,,,
2021-08-10,,,,,,126.0,
2021-08-11,,,,,,,579.0
2021-08-12,,,,,160.0,,
2021-08-13,392.0,,,,,,
2021-08-14,,,121.0,,,,
2021-08-15,,,,213.0,,,
2021-08-16,,188.0,,,,,
2021-08-17,,,,,,113.0,
2021-08-18,,,,,,,121.0
2021-08-19,,,,,46181.0,,
2021-08-20,174.0,,,,,,
2021-08-21,,,511.0,,,,
2021-08-22,,,,352.0,,,
2021-08-23,,195.0,,,,,
2021-08-24,,,,,,64.0,
2021-08-25,,,,,,,93.0
2021-08-26,,,,,62.0,,
2021-08-27,185.0,,,,,,
2021-08-28,,,126.0,,,,
2021-08-29,,,,322.0,,,
2021-08-30,,154.0,,,,,
2021-08-31,,,,,,144.0,
2021-09-01,,,,,,,233.0
2021-09-02,,,,,106.0,,
2021-09-03,160.0,,,,,,
2021-09-04,,,252.0,,,,
2021-09-05,,,,171.0,,,
2021-09-06,,125.0,,,,,
2021-09-07,,,,,,80.0,
2021-09-08,,,,,,,232.0
2021-09-09,,,,,212.0,,
2021-09-10,348.0,,,,,,
2021-09-11,,,135.0,,,,
2021-09-12,,,,133.0,,,
2021-09-13,,184.0,,,,,
2021-09-14,,,,,,200.0,
2021-09-15,,,,,,,369.0
2021-09-16,,,,,201.0,,
2021-09-17,308.0,,,,,,
2021-09-18,,,306.0,,,,
2021-09-19,,,,269.0,,,
2021-09-20,,243.0,,,,,
2021-09-21,,,,,,583.0,
2021-09-22,,,,,,,193.0
2021-09-23,,,,,423.0,,
2021-09-24,338.0,,,,,,
2021-09-25,,,287.0,,,,
2021-09-26,,,,128.0,,,
2021-09-27,,140.0,,,,,
2021-09-28,,,,,,322.0,
2021-09-29,,,,,,,524.0
2021-09-30,,,,,181.0,,
2021-10-01,564.0,,,,,,
2021-10-02,,,134.0,,,,
2021-10-03,,,,174.0,,,
2021-10-04,,378.0,,,,,
2021-10-05,,,,,,311.0,
2021-10-06,,,,,,,312.0
2021-10-07,,,,,384.0,,
2021-10-08,432.0,,,,,,
2021-10-09,,,150.0,,,,
2021-10-10,,,,131.0,,,
2021-10-11,,221.0,,,,,
2021-10-12,,,,,,250.0,
2021-10-13,,,,,,,271.0
2021-10-14,,,,,450.0,,
2021-10-15,300.0,,,,,,
2021-10-16,,,194.0,,,,
2021-10-17,,,,234.0,,,
2021-10-18,,546.0,,,,,
2021-10-19,,,,,,359.0,
2021-10-20,,,,,,,354.0
2021-10-21,,,,,231.0,,
2021-10-22,277.0,,,,,,
2021-10-23,,,105.0,,,,
2021-10-24,,,,133.0,,,
2021-10-25,,245.0,,,,,
2021-10-26,,,,,,77.0,
2021-10-27,,,,,,,272.0
2021-10-28,,,,,481.0,,
2021-10-29,238.0,,,,,,
2021-10-30,,,41.0,,,,
2021-10-31,,,,88.0,,,
2021-11-01,,241.0,,,,,
2021-11-02,,,,,,237.0,
2021-11-03,,,,,,,120.0
2021-11-04,,,,,176.0,,
2021-11-05,380.0,,,,,,
2021-11-06,,,84.0,,,,
2021-11-07,,,,124.0,,,
2021-11-08,,210.0,,,,,
2021-11-09,,,,,,79.0,
2021-11-10,,,,,,,144.0
2021-11-11,,,,,362.0,,
2021-11-12,708.0,,,,,,
2021-11-13,,,229.0,,,,
2021-11-14,,,,211.0,,,
